# D3438 Calibration File 05/29/17 15:18:29
# Temperature Voltage
# (K) (Volts)
# 
# 
2.33068e+00 1.62352e+00
2.39717e+00 1.61998e+00
2.79997e+00 1.61362e+00
3.20092e+00 1.60314e+00
3.70393e+00 1.58915e+00
4.21234e+00 1.57351e+00
5.00762e+00 1.54617e+00
6.04671e+00 1.50852e+00
7.06959e+00 1.47060e+00
8.10502e+00 1.43500e+00
9.11422e+00 1.40389e+00
1.01618e+01 1.37505e+00
1.11951e+01 1.34954e+00
1.22246e+01 1.32663e+00
1.32294e+01 1.30603e+00
1.42123e+01 1.28813e+00
1.51931e+01 1.27079e+00
1.62213e+01 1.25403e+00
1.71913e+01 1.23963e+00
1.81525e+01 1.22446e+00
1.91549e+01 1.20949e+00
2.00651e+01 1.19570e+00
2.10809e+01 1.17989e+00
2.18349e+01 1.16620e+00
2.26644e+01 1.14842e+00
2.32457e+01 1.13622e+00
2.38472e+01 1.12765e+00
2.44613e+01 1.12248e+00
2.51143e+01 1.11902e+00
2.57329e+01 1.11654e+00
2.65952e+01 1.11393e+00
2.73939e+01 1.11188e+00
2.82507e+01 1.10995e+00
2.92696e+01 1.10777e+00
3.02776e+01 1.10577e+00
3.23377e+01 1.10191e+00
3.53614e+01 1.09667e+00
3.83773e+01 1.09169e+00
4.23974e+01 1.08525e+00
4.63995e+01 1.07887e+00
5.23857e+01 1.06928e+00
5.83629e+01 1.05957e+00
6.43450e+01 1.04969e+00
7.03313e+01 1.03964e+00
7.63167e+01 1.02940e+00
8.23100e+01 1.01895e+00
8.82941e+01 1.00833e+00
9.42825e+01 9.97514e-01
1.00277e+02 9.86512e-01
1.10258e+02 9.67790e-01
1.25257e+02 9.38850e-01
1.40243e+02 9.09081e-01
1.55218e+02 8.78594e-01
1.70210e+02 8.47462e-01
1.85205e+02 8.15773e-01
2.00195e+02 7.83623e-01
2.15185e+02 7.51058e-01
2.30180e+02 7.18107e-01
2.45172e+02 6.84768e-01
2.60173e+02 6.51089e-01
2.75171e+02 6.17114e-01
2.95000e+02 5.68000e-01
