# D3286 Calibration File 05/29/17 15:18:29
# Temperature Voltage
# (K) (Volts)
# 
# 
2.33068e+00 1.62747e+00
2.39717e+00 1.62731e+00
2.79997e+00 1.61711e+00
3.20092e+00 1.60656e+00
3.70393e+00 1.59253e+00
4.21234e+00 1.57697e+00
5.00762e+00 1.54965e+00
6.04671e+00 1.51145e+00
7.06959e+00 1.47346e+00
8.10502e+00 1.43726e+00
9.11422e+00 1.40580e+00
1.01618e+01 1.37671e+00
1.11951e+01 1.35099e+00
1.22246e+01 1.32777e+00
1.32294e+01 1.30708e+00
1.42123e+01 1.28907e+00
1.51931e+01 1.27154e+00
1.62213e+01 1.25525e+00
1.71913e+01 1.24022e+00
1.81525e+01 1.22493e+00
1.91549e+01 1.20989e+00
2.00651e+01 1.19646e+00
2.10809e+01 1.18022e+00
2.18349e+01 1.16663e+00
2.26644e+01 1.14898e+00
2.32457e+01 1.13659e+00
2.38472e+01 1.12781e+00
2.44613e+01 1.12256e+00
2.51143e+01 1.11908e+00
2.57329e+01 1.11659e+00
2.65952e+01 1.11404e+00
2.73939e+01 1.11191e+00
2.82507e+01 1.10997e+00
2.92696e+01 1.10778e+00
3.02776e+01 1.10582e+00
3.23377e+01 1.10191e+00
3.53614e+01 1.09665e+00
3.83773e+01 1.09167e+00
4.23974e+01 1.08521e+00
4.63995e+01 1.07882e+00
5.23857e+01 1.06922e+00
5.83629e+01 1.05952e+00
6.43450e+01 1.04966e+00
7.03313e+01 1.03961e+00
7.63167e+01 1.02938e+00
8.23100e+01 1.01893e+00
8.82941e+01 1.00831e+00
9.42825e+01 9.97497e-01
1.00277e+02 9.86489e-01
1.10258e+02 9.67760e-01
1.25257e+02 9.38803e-01
1.40243e+02 9.09005e-01
1.55218e+02 8.78502e-01
1.70210e+02 8.47334e-01
1.85205e+02 8.15607e-01
2.00195e+02 7.83411e-01
2.15185e+02 7.50810e-01
2.30180e+02 7.17811e-01
2.45172e+02 6.84442e-01
2.60173e+02 6.50748e-01
2.75171e+02 6.16760e-01
2.95000e+02 5.68000e-01
