# D3204 Calibration File 05/29/17 15:18:29
# Temperature Voltage
# (K) (Volts)
# 
# 
2.33068e+00 1.62831e+00
2.39717e+00 1.62581e+00
2.79997e+00 1.61816e+00
3.20092e+00 1.60734e+00
3.70393e+00 1.59288e+00
4.21234e+00 1.57661e+00
5.00762e+00 1.54827e+00
6.04671e+00 1.50902e+00
7.06959e+00 1.47078e+00
8.10502e+00 1.43445e+00
9.11422e+00 1.40289e+00
1.01618e+01 1.37376e+00
1.11951e+01 1.34813e+00
1.22246e+01 1.32539e+00
1.32294e+01 1.30451e+00
1.42123e+01 1.28707e+00
1.51931e+01 1.26966e+00
1.62213e+01 1.25335e+00
1.71913e+01 1.23823e+00
1.81525e+01 1.22326e+00
1.91549e+01 1.20836e+00
2.00651e+01 1.19510e+00
2.10809e+01 1.17872e+00
2.18349e+01 1.16483e+00
2.26644e+01 1.14690e+00
2.32457e+01 1.13516e+00
2.38472e+01 1.12694e+00
2.44613e+01 1.12206e+00
2.51143e+01 1.11873e+00
2.57329e+01 1.11634e+00
2.65952e+01 1.11383e+00
2.73939e+01 1.11174e+00
2.82507e+01 1.10982e+00
2.92696e+01 1.10766e+00
3.02776e+01 1.10570e+00
3.23377e+01 1.10182e+00
3.53614e+01 1.09657e+00
3.83773e+01 1.09157e+00
4.23974e+01 1.08514e+00
4.63995e+01 1.07876e+00
5.23857e+01 1.06919e+00
5.83629e+01 1.05952e+00
6.43450e+01 1.04965e+00
7.03313e+01 1.03959e+00
7.63167e+01 1.02934e+00
8.23100e+01 1.01889e+00
8.82941e+01 1.00826e+00
9.42825e+01 9.97438e-01
1.00277e+02 9.86420e-01
1.10258e+02 9.67673e-01
1.25257e+02 9.38693e-01
1.40243e+02 9.08870e-01
1.55218e+02 8.78259e-01
1.70210e+02 8.47005e-01
1.85205e+02 8.15204e-01
2.00195e+02 7.83019e-01
2.15185e+02 7.50419e-01
2.30180e+02 7.17412e-01
2.45172e+02 6.84051e-01
2.60173e+02 6.50390e-01
2.75171e+02 6.16432e-01
2.95000e+02 5.68000e-01
