# D3670 Calibration File 05/29/17 15:18:29
# Temperature Voltage
# (K) (Volts)
# 
# 
2.33068e+00 1.62323e+00
2.39717e+00 1.62702e+00
2.79997e+00 1.61693e+00
3.20092e+00 1.60633e+00
3.70393e+00 1.59220e+00
4.21234e+00 1.57633e+00
5.00762e+00 1.54877e+00
6.04671e+00 1.51043e+00
7.06959e+00 1.47257e+00
8.10502e+00 1.43632e+00
9.11422e+00 1.40508e+00
1.01618e+01 1.37537e+00
1.11951e+01 1.35006e+00
1.22246e+01 1.32704e+00
1.32294e+01 1.30544e+00
1.42123e+01 1.28780e+00
1.51931e+01 1.27072e+00
1.62213e+01 1.25387e+00
1.71913e+01 1.23863e+00
1.81525e+01 1.22359e+00
1.91549e+01 1.20919e+00
2.00651e+01 1.19543e+00
2.10809e+01 1.17913e+00
2.18349e+01 1.16542e+00
2.26644e+01 1.14776e+00
2.32457e+01 1.13587e+00
2.38472e+01 1.12735e+00
2.44613e+01 1.12232e+00
2.51143e+01 1.11893e+00
2.57329e+01 1.11650e+00
2.65952e+01 1.11398e+00
2.73939e+01 1.11188e+00
2.82507e+01 1.10995e+00
2.92696e+01 1.10781e+00
3.02776e+01 1.10582e+00
3.23377e+01 1.10192e+00
3.53614e+01 1.09669e+00
3.83773e+01 1.09170e+00
4.23974e+01 1.08525e+00
4.63995e+01 1.07887e+00
5.23857e+01 1.06927e+00
5.83629e+01 1.05957e+00
6.43450e+01 1.04972e+00
7.03313e+01 1.03967e+00
7.63167e+01 1.02945e+00
8.23100e+01 1.01901e+00
8.82941e+01 1.00840e+00
9.42825e+01 9.97605e-01
1.00277e+02 9.86611e-01
1.10258e+02 9.67910e-01
1.25257e+02 9.38998e-01
1.40243e+02 9.09244e-01
1.55218e+02 8.78788e-01
1.70210e+02 8.47665e-01
1.85205e+02 8.15981e-01
2.00195e+02 7.83836e-01
2.15185e+02 7.51276e-01
2.30180e+02 7.18332e-01
2.45172e+02 6.85006e-01
2.60173e+02 6.51351e-01
2.75171e+02 6.17396e-01
2.95000e+02 5.68000e-01
