# D3580 Calibration File 05/29/17 15:18:29
# Temperature Voltage
# (K) (Volts)
# 
# 
2.33068e+00 1.62734e+00
2.39717e+00 1.62379e+00
2.79997e+00 1.61629e+00
3.20092e+00 1.60577e+00
3.70393e+00 1.59178e+00
4.21234e+00 1.57628e+00
5.00762e+00 1.54903e+00
6.04671e+00 1.51086e+00
7.06959e+00 1.47308e+00
8.10502e+00 1.43692e+00
9.11422e+00 1.40588e+00
1.01618e+01 1.37653e+00
1.11951e+01 1.35135e+00
1.22246e+01 1.32773e+00
1.32294e+01 1.30755e+00
1.42123e+01 1.28890e+00
1.51931e+01 1.27183e+00
1.62213e+01 1.25505e+00
1.71913e+01 1.23999e+00
1.81525e+01 1.22472e+00
1.91549e+01 1.21019e+00
2.00651e+01 1.19627e+00
2.10809e+01 1.18001e+00
2.18349e+01 1.16636e+00
2.26644e+01 1.14871e+00
2.32457e+01 1.13640e+00
2.38472e+01 1.12771e+00
2.44613e+01 1.12252e+00
2.51143e+01 1.11905e+00
2.57329e+01 1.11658e+00
2.65952e+01 1.11403e+00
2.73939e+01 1.11191e+00
2.82507e+01 1.10996e+00
2.92696e+01 1.10782e+00
3.02776e+01 1.10580e+00
3.23377e+01 1.10189e+00
3.53614e+01 1.09664e+00
3.83773e+01 1.09163e+00
4.23974e+01 1.08516e+00
4.63995e+01 1.07877e+00
5.23857e+01 1.06917e+00
5.83629e+01 1.05947e+00
6.43450e+01 1.04961e+00
7.03313e+01 1.03955e+00
7.63167e+01 1.02931e+00
8.23100e+01 1.01886e+00
8.82941e+01 1.00824e+00
9.42825e+01 9.97421e-01
1.00277e+02 9.86408e-01
1.10258e+02 9.67677e-01
1.25257e+02 9.38717e-01
1.40243e+02 9.08928e-01
1.55218e+02 8.78379e-01
1.70210e+02 8.47194e-01
1.85205e+02 8.15443e-01
2.00195e+02 7.83259e-01
2.15185e+02 7.50674e-01
2.30180e+02 7.17687e-01
2.45172e+02 6.84324e-01
2.60173e+02 6.50637e-01
2.75171e+02 6.16656e-01
2.95000e+02 5.68000e-01
