# D3722 Calibration File 05/29/17 15:18:29
# Temperature Voltage
# (K) (Volts)
# 
# 
2.33068e+00 1.61757e+00
2.39717e+00 1.61790e+00
2.79997e+00 1.61038e+00
3.20092e+00 1.60011e+00
3.70393e+00 1.58643e+00
4.21234e+00 1.57119e+00
5.00762e+00 1.54437e+00
6.04671e+00 1.50738e+00
7.06959e+00 1.46981e+00
8.10502e+00 1.43459e+00
9.11422e+00 1.40358e+00
1.01618e+01 1.37504e+00
1.11951e+01 1.34965e+00
1.22246e+01 1.32638e+00
1.32294e+01 1.30637e+00
1.42123e+01 1.28791e+00
1.51931e+01 1.27109e+00
1.62213e+01 1.25446e+00
1.71913e+01 1.23954e+00
1.81525e+01 1.22492e+00
1.91549e+01 1.20998e+00
2.00651e+01 1.19616e+00
2.10809e+01 1.17988e+00
2.18349e+01 1.16617e+00
2.26644e+01 1.14903e+00
2.32457e+01 1.13678e+00
2.38472e+01 1.12764e+00
2.44613e+01 1.12247e+00
2.51143e+01 1.11913e+00
2.57329e+01 1.11663e+00
2.65952e+01 1.11400e+00
2.73939e+01 1.11193e+00
2.82507e+01 1.10999e+00
2.92696e+01 1.10780e+00
3.02776e+01 1.10579e+00
3.23377e+01 1.10194e+00
3.53614e+01 1.09668e+00
3.83773e+01 1.09168e+00
4.23974e+01 1.08522e+00
4.63995e+01 1.07883e+00
5.23857e+01 1.06924e+00
5.83629e+01 1.05953e+00
6.43450e+01 1.04966e+00
7.03313e+01 1.03961e+00
7.63167e+01 1.02938e+00
8.23100e+01 1.01894e+00
8.82941e+01 1.00832e+00
9.42825e+01 9.97509e-01
1.00277e+02 9.86507e-01
1.10258e+02 9.67787e-01
1.25257e+02 9.38861e-01
1.40243e+02 9.09085e-01
1.55218e+02 8.78603e-01
1.70210e+02 8.47477e-01
1.85205e+02 8.15775e-01
2.00195e+02 7.83612e-01
2.15185e+02 7.51040e-01
2.30180e+02 7.18076e-01
2.45172e+02 6.84733e-01
2.60173e+02 6.51052e-01
2.75171e+02 6.17078e-01
2.95000e+02 5.68000e-01
