# D3249 Calibration File 05/29/17 15:18:29
# Temperature Voltage
# (K) (Volts)
# 
# 
2.33068e+00 1.62122e+00
2.39717e+00 1.62459e+00
2.79997e+00 1.61316e+00
3.20092e+00 1.60273e+00
3.70393e+00 1.58889e+00
4.21234e+00 1.57346e+00
5.00762e+00 1.54635e+00
6.04671e+00 1.50850e+00
7.06959e+00 1.47121e+00
8.10502e+00 1.43538e+00
9.11422e+00 1.40475e+00
1.01618e+01 1.37558e+00
1.11951e+01 1.35008e+00
1.22246e+01 1.32750e+00
1.32294e+01 1.30658e+00
1.42123e+01 1.28878e+00
1.51931e+01 1.27183e+00
1.62213e+01 1.25505e+00
1.71913e+01 1.23998e+00
1.81525e+01 1.22481e+00
1.91549e+01 1.21028e+00
2.00651e+01 1.19641e+00
2.10809e+01 1.17999e+00
2.18349e+01 1.16613e+00
2.26644e+01 1.14821e+00
2.32457e+01 1.13604e+00
2.38472e+01 1.12751e+00
2.44613e+01 1.12240e+00
2.51143e+01 1.11896e+00
2.57329e+01 1.11651e+00
2.65952e+01 1.11397e+00
2.73939e+01 1.11186e+00
2.82507e+01 1.10992e+00
2.92696e+01 1.10779e+00
3.02776e+01 1.10578e+00
3.23377e+01 1.10189e+00
3.53614e+01 1.09665e+00
3.83773e+01 1.09167e+00
4.23974e+01 1.08522e+00
4.63995e+01 1.07884e+00
5.23857e+01 1.06924e+00
5.83629e+01 1.05954e+00
6.43450e+01 1.04968e+00
7.03313e+01 1.03962e+00
7.63167e+01 1.02939e+00
8.23100e+01 1.01894e+00
8.82941e+01 1.00832e+00
9.42825e+01 9.97512e-01
1.00277e+02 9.86508e-01
1.10258e+02 9.67792e-01
1.25257e+02 9.38854e-01
1.40243e+02 9.09078e-01
1.55218e+02 8.78580e-01
1.70210e+02 8.47425e-01
1.85205e+02 8.15733e-01
2.00195e+02 7.83583e-01
2.15185e+02 7.51010e-01
2.30180e+02 7.18051e-01
2.45172e+02 6.84714e-01
2.60173e+02 6.51048e-01
2.75171e+02 6.17087e-01
2.95000e+02 5.68000e-01
