# D3376 Calibration File 05/29/17 15:18:29
# Temperature Voltage
# (K) (Volts)
# 
# 
2.33068e+00 1.62431e+00
2.39717e+00 1.62805e+00
2.79997e+00 1.61650e+00
3.20092e+00 1.60583e+00
3.70393e+00 1.59162e+00
4.21234e+00 1.57547e+00
5.00762e+00 1.54776e+00
6.04671e+00 1.50918e+00
7.06959e+00 1.47076e+00
8.10502e+00 1.43503e+00
9.11422e+00 1.40367e+00
1.01618e+01 1.37482e+00
1.11951e+01 1.34927e+00
1.22246e+01 1.32596e+00
1.32294e+01 1.30568e+00
1.42123e+01 1.28777e+00
1.51931e+01 1.27034e+00
1.62213e+01 1.25360e+00
1.71913e+01 1.23925e+00
1.81525e+01 1.22403e+00
1.91549e+01 1.20902e+00
2.00651e+01 1.19522e+00
2.10809e+01 1.17936e+00
2.18349e+01 1.16570e+00
2.26644e+01 1.14787e+00
2.32457e+01 1.13581e+00
2.38472e+01 1.12737e+00
2.44613e+01 1.12230e+00
2.51143e+01 1.11890e+00
2.57329e+01 1.11645e+00
2.65952e+01 1.11385e+00
2.73939e+01 1.11182e+00
2.82507e+01 1.10989e+00
2.92696e+01 1.10771e+00
3.02776e+01 1.10571e+00
3.23377e+01 1.10186e+00
3.53614e+01 1.09661e+00
3.83773e+01 1.09160e+00
4.23974e+01 1.08516e+00
4.63995e+01 1.07876e+00
5.23857e+01 1.06921e+00
5.83629e+01 1.05954e+00
6.43450e+01 1.04969e+00
7.03313e+01 1.03963e+00
7.63167e+01 1.02940e+00
8.23100e+01 1.01895e+00
8.82941e+01 1.00833e+00
9.42825e+01 9.97516e-01
1.00277e+02 9.86511e-01
1.10258e+02 9.67784e-01
1.25257e+02 9.38831e-01
1.40243e+02 9.09035e-01
1.55218e+02 8.78510e-01
1.70210e+02 8.47338e-01
1.85205e+02 8.15549e-01
2.00195e+02 7.83350e-01
2.15185e+02 7.50753e-01
2.30180e+02 7.17769e-01
2.45172e+02 6.84412e-01
2.60173e+02 6.50766e-01
2.75171e+02 6.16814e-01
2.95000e+02 5.68000e-01
